id,code,uic,name_short,name_medium,name_long,slug,country,type
846,HOJE,7401318,Göteborg C,Göteborg Central,Göteborg Central,goteborg-central,S,intercitystation
195,GD,8400258,Gouda,Gouda,Gouda,gouda,NL,knooppuntIntercitystation
196,GDG,8400257,Goverwelle,Goverwelle,Gouda Goverwelle,gouda-goverwelle,NL,stoptreinstation
193,GBG,8400259,Gramsbergn,Gramsbergen,Gramsbergen,gramsbergen,NL,stoptreinstation
202,GK,8400267,Grijpskerk,Grijpskerk,Grijpskerk,grijpskerk,NL,stoptreinstation
192,G,8021128,Gronau,Gronau (Westf.),Gronau (Westf.),gronau-westf,D,knooppuntStoptreinstation
204,GN,8400263,Groningen,Groningen,Groningen,groningen,NL,knooppuntIntercitystation
201,GERP,8400238,Europapark,Europapark,Groningen Europapark,groningen-europapark,NL,stoptreinstation
206,GNN,8400264,Groningn N,Groningen Noord,Groningen Noord,groningen-noord,NL,stoptreinstation
217,GW,8400266,Grou-Jirns,Grou-Jirnsum,Grou-Jirnsum,grou-jirnsum,NL,stoptreinstation
598,MGZB,8002084,Günzburg,Günzburg,Günzburg,gunzburg,D,sneltreinstation
244,HLM,8400285,Haarlem,Haarlem,Haarlem,haarlem,NL,knooppuntIntercitystation
245,HLMS,8400270,Spaarnwde,Spaarnwoude,Haarlem Spaarnwoude,haarlem-spaarnwoude,NL,stoptreinstation
220,HAGEN,8008073,Hagen,Hagen Hbf,Hagen Hbf,hagen-hbf,D,knooppuntSneltreinstation
684,HWZB,8400400,Halfweg-Zw,Halfweg-Zw.,Halfweg-Zwanenburg,halfweg-zwanenburg,NL,stoptreinstation
222,HAMM,8010002,Hamm,Hamm (Westf.),Hamm (Westf.),hamm-westf,D,knooppuntStoptreinstation
223,HANN,8013552,Hannover H,Hannover Hbf,Hannover Hbf,hannover-hbf,D,megastation
226,HDB,8400293,Hardenberg,Hardenberg,Hardenberg,hardenberg,NL,sneltreinstation
225,HD,8400294,Harderwijk,Harderwijk,Harderwijk,harderwijk,NL,knooppuntStoptreinstation
685,HBZM,8400438,Blauwe Zm,Blauwe Zoom,Hardinxveld Blauwe Zoom,hardinxveld-blauwe-zoom,NL,stoptreinstation
205,GND,8400295,Hardinxvld,Hardinxveld-G.,Hardinxveld-Giessendam,hardinxveld-giessendam,NL,stoptreinstation
264,HRN,8400297,Haren,Haren,Haren,haren,NL,stoptreinstation
242,HLG,8400296,Harlingen,Harlingen,Harlingen,harlingen,NL,stoptreinstation
243,HLGH,8400298,Harl Haven,Harlingen Haven,Harlingen Haven,harlingen-haven,NL,stoptreinstation
754,FHS,8831005,Hasselt,Hasselt,Hasselt,hasselt,B,stoptreinstation
238,HK,8400317,Heemskerk,Heemskerk,Heemskerk,heemskerk,NL,stoptreinstation
219,HAD,8400302,Heemstede,Heemstede-A.,Heemstede-Aerdenhout,heemstede-aerdenhout,NL,intercitystation
260,HR,8400305,Heerenveen,Heerenveen,Heerenveen,heerenveen,NL,intercitystation
599,HRY,8400301,IJsstadion,IJsstadion,Heerenveen IJsstadion,heerenveen-ijsstadion,NL,facultatiefStation
274,HWD,8400306,Heerhugow,Heerhugowaard,Heerhugowaard,heerhugowaard,NL,knooppuntStoptreinstation
261,HRL,8400307,Heerlen,Heerlen,Heerlen,heerlen,NL,knooppuntIntercitystation
262,HRLW,8400404,Heerlen W,Hrl Woonblvd,Heerlen Woonboulevard,heerlen-woonboulevard,NL,stoptreinstation
276,HZE,8400308,Heeze,Heeze,Heeze,heeze,NL,stoptreinstation
600,MID,8821519,Heide (B),Heide (B),Heide (B),heide-b,B,stoptreinstation
246,HLO,8400309,Heiloo,Heiloo,Heiloo,heiloo,NL,stoptreinstation
254,HNO,8400310,Heino,Heino,Heino,heino,NL,stoptreinstation
247,HM,8400313,Helmond,Helmond,Helmond,helmond,NL,knooppuntIntercitystation
250,HMH,8400300,'t Hout,'t Hout,Helmond 't Hout,helmond-t-hout,NL,stoptreinstation
249,HMBV,8400242,Brandevrt,Brandevoort,Helmond Brandevoort,helmond-brandevoort,NL,stoptreinstation
248,HMBH,8400299,Brouwhuis,Brouwhuis,Helmond Brouwhuis,helmond-brouwhuis,NL,stoptreinstation
705,LKM,8824224,Hemiksem,Hemiksem,Hemiksem,hemiksem,B,stoptreinstation
251,HMN,8400315,Hemmen-D,Hemmen-Dodew.,Hemmen-Dodewaard,hemmen-dodewaard,NL,stoptreinstation
233,HGL,8400316,Hengelo,Hengelo,Hengelo,hengelo,NL,knooppuntIntercitystation
686,HGLG,8400433,Gezondhprk,Hengelo Gezondh.,Hengelo Gezondheidspark,hengelo-gezondheidspark,NL,stoptreinstation
234,HGLO,8400312,Hengelo O,Hengelo Oost,Hengelo Oost,hengelo-oost,NL,stoptreinstation
755,LHS,8841608,Herstal,Herstal,Herstal,herstal,B,stoptreinstation
275,HZ,8015190,Herzogenr,Herzogenrath,Herzogenrath,herzogenrath,D,stoptreinstation
